World Cup,Gold,Silver,Bronze
Spain 2014,USA,Serbia,France
Turkey 2010,USA,Turkey,Lithuania
Japan 2006,Spain,Greece,USA
United States 2002,FR of Yugoslavia,Argentina,Germany
Greece 1998,FR of Yugoslavia,Russia,USA
Canada 1994,USA,Russia,Croatia
Argentina 1990,Yugoslavia,Soviet Union,USA
Spain 1986,USA,Soviet Union,Yugoslavia
Colombia 1982,Soviet Union,USA,Yugoslavia
Philippines 1978,Yugoslavia,Soviet Union,Brazil
Puerto Rico 1974,Soviet Union,Yugoslavia,USA
Yugoslavia 1970,Yugoslavia,Brazil,Soviet Union
Uruguay 1967,Soviet Union,Yugoslavia,Brazil
Brazil 1963,Brazil,Yugoslavia,Soviet Union
Chile 1959,Brazil,USA,Chile
Brazil 1954,USA,Brazil,Philippines
Argentina 1950,Argentina,USA,Chile
